Quantity,Name,Finish,Condition,Date Added,Language,Purchase Price,Tags,Edition Name,Edition Code,Multiverse Id,Scryfall ID,Collector Number
1,Esper Sentinel,Normal,NM,2026-09-01,EN,,,Modern Horizons 2 Timeshifts,h2r,0,8b5a916f-a6f2-4e89-b38f-7e5bc0c2e032,2
1,Forest,Normal,NM,2026-09-01,EN,,,Star Trek,trk,0,dce15387-4114-4b3e-91aa-5b42b45c44ac,325
1,Island,Normal,NM,2026-09-01,EN,,,Star Trek,trk,0,f3cc07cd-cc79-4745-b0b7-eade60175cc3,319
1,Mountain,Normal,NM,2026-09-01,EN,,,Star Trek,trk,0,2a844b96-6616-4c39-8f4f-5d14a3b2bd55,323
1,Plains,Normal,NM,2026-09-01,EN,,,Star Trek,trk,0,8ab0f4c0-b331-4c57-b68f-2e24bb5ba06c,317
1,PuPu UFO,Normal,NM,2026-09-01,EN,,,Final Fantasy,fin,0,989b52f7-d8a5-4488-9a5d-f14a1d48686d,266
1,Sol Ring,Normal,NM,2026-09-01,EN,,,March of the Machine Commander,moc,612629,eca9ae7b-a6d9-43ea-92d4-0110fd6643a7,381
1,Swamp,Normal,NM,2026-09-01,EN,,,Star Trek,trk,0,b7387103-1df1-4fd0-9e91-1544509792c7,321
